Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
409,Jasmine G.,29.0,"San Francisco, CA",6.0,21,4
410,Josephine,24.0,"Santa Cruz, CA",5.0,21,4
411,Kristina,24.0,"Lexington, KY",7.0,21,4
412,Lacey,25.0,"Manhattan, NY",2.0,21,4
413,Lauren,30.0,"Naples, FL",1.0,21,4
414,Michelle,24.0,"Los Angeles, CA",1.0,21,4
415,Olivia,25.0,"Anchorage, AK",1.0,21,4
416,Rachel,31.0,"Dallas, TX",11.0,21,4
417,Raven,25.0,"Hoxie, AR",11.0,21,4
418,Sarah,26.0,"Newport Beach, CA",4.0,21,4
419,Susannah,26.0,"San Diego, CA",1.0,21,4
420,Taylor,23.0,"Seattle, WA",5.0,21,4
421,Vanessa,29.0,"Montreal, Quebec, Canada",11.0,21,4
422,Whitney,25.0,"Chanhassen, MN",6.0,21,4
0,Estella Gardinier,28.0,"Beverly Hills, California",11.0,4,1
1,Kelly Jo Kuharski,24.0,"Kalamazoo, Michigan",7.0,4,4
2,Mary Delgado,28.0,"Tampa, Florida",6.0,4,2
3,Meredith Phillips,28.0,"Beaverton, Oregon",5.0,4,1
4,Brooke Bradford,24.0,"Bartlett, Tennessee",4.0,4,2
5,Lee-Ann Callebs,24.0,"Athens, Georgia",4.0,4,2
6,Antoinette Madonna,30.0,"Philadelphia, Pennsylvania",3.0,4,3
7,Jenny Hartgrove,30.0,"Austin, Texas",3.0,4,2
8,Karin Smith,32.0,"Brooklyn Park, Minnesota",3.0,4,4
9,Misty,23.0,"Dallas, Texas",3.0,4,2
10,Jennifer,26.0,"La Jolla, California",2.0,4,1
11,Kristi Houston,24.0,"Chicago, Illinois",2.0,4,4
12,Lanah,27.0,"Poolesville, Maryland",2.0,4,3
13,Lindsay D.,23.0,"Los Angeles, California",2.0,4,1
14,Lindsay King,25.0,"Mauldin, South Carolina",1.0,4,2
15,Christine,24.0,"Corona, California",1.0,4,1
16,Darla Whistler,26.0,"Gainesville, Florida",1.0,4,2
17,Heather,24.0,"Chicago, Illinois",1.0,4,4
18,Julie,29.0,"Louisville, Kentucky",1.0,4,2
19,Lauren,24.0,"Redondo Beach, California",1.0,4,1
20,Leona,25.0,"Chicago, Illinois",1.0,4,4
21,Samentha,25.0,"Chicago, Illinois",1.0,4,4
22,Shea Deeds,25.0,"Shreveport, Lousiana",1.0,4,4
23,Shelly,26.0,"Wanwatosa, Wisconsin",1.0,4,4
24,Stacey,26.0,"Massillon, OH",1.0,4,4
0,Mary Delgado,29.0,"Tampa, FL",11.0,6,4
1,Tanya,31.0,"Plano, TX",7.0,6,4
2,Cynthia,37.0,"Hermosa Beach, CA",7.0,6,4
3,Cheresse,31.0,"St. Louis, MO",6.0,6,4
4,Andrea,33.0,"Denver, CO",5.0,6,4
5,Jayne,37.0,"Key Largo, FL",5.0,6,4
6,Elizabeth,28.0,"Chicago, IL",4.0,6,4
7,Krysta,28.0,"Oklahoma City, OK",4.0,6,4
8,Amanda,27.0,"New York, NY",3.0,6,3
9,Kristie,32.0,"Windsor, Canada",3.0,6,4
10,Susie,32.0,"Hollywood, CA",3.0,6,4
11,Heather Cranford,32.0,"Dallas, TX",3.0,6,4
12,Ashley,31.0,"Santa Barbara, CA",2.0,6,4
13,Kelly,34.0,"Beverly Hills, CA",2.0,6,4
14,Leina,28.0,"Chula Vista, CA",2.0,6,4
15,Natalie,34.0,"Santa Monica, CA",2.0,6,4
16,Wende,28.0,"Austin, TX",2.0,6,4
17,Abby,29.0,"Henderson, NV",1.0,6,4
18,Alma Rubenstein,35.0,"Astoria, OR",1.0,6,4
19,Amy,27.0,"San Diego, CA",1.0,6,4
20,Carolyn,36.0,"Tusla, OK",1.0,6,4
21,Jennifer,31.0,"Seattle, WA",1.0,6,4
22,Kerry,31.0,"San Francisco, CA",1.0,6,4
23,Kristin,27.0,"Pensacola, FL",1.0,6,4
24,Lisa,33.0,"West Palm Beach, FL",1.0,6,4
25,Melinda,39.0,"Nashville, TN",1.0,6,4
26,Nicole,28.0,"Libertyville, IL",1.0,6,4
0,Sarah Brice,24.0,"McKinney, Texas",11.0,7,2
1,Krisily Kennedy,25.0,"Warwick, Rhode Island",8.0,7,3
2,Sarah Welch,24.0,"Los Angeles, California",6.0,7,1
3,Kimberly Choma,25.0,"Edmonton, Alberta",5.0,7,4
4,Anitra,29.0,"Manhattan Beach, California",4.0,7,1
5,Kindle,23.0,"Rockwell, Texas",4.0,7,2
6,Jenny Adams,23.0,"Edmonton, Alberta",3.0,7,4
7,Kara,26.0,"Woodland Hills, California",3.0,7,1
8,Carrie,27.0,"Minneapolis, Minnesota",2.0,7,4
9,Gina Marie,28.0,"Fort Lauderdale, Florida",2.0,7,2
10,Kerry,32.0,"Chicago, Illinois",2.0,7,4
11,Megan,23.0,"Tallahassee, Florida",2.0,7,2
12,Brenda,26.0,"New York City, New York",1.0,7,3
13,Danuska,30.0,"Los Angeles, California",1.0,7,1
14,Debby,25.0,"Thornhill, Ontario",1.0,7,4
15,Emilie,27.0,"Chicago, Illinois",1.0,7,4
16,Geitan,30.0,"Newport Beach, California",1.0,7,1
17,Heather,24.0,"Orlando, Florida",1.0,7,2
18,Katie,25.0,"Tempe, Arizona",1.0,7,4
19,Kristen,30.0,"Boston, Massachusetts",1.0,7,3
20,Kristina,27.0,"Brooklyn, New York",1.0,7,3
21,Kristine,23.0,"Fairfax Station, Virginia",1.0,7,2
22,Kyshawn,30.0,"Nashville, Tennessee",1.0,7,2
23,Siomara,25.0,"Chicago, Illinois",1.0,7,4
24,Valerie,28.0,"Wayne, New Jersey",1.0,7,3
