Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
98,Carissa Ilburg,25.0,"Cattaraugus, NY",1.0,9,4
99,Britt (Bowe) Newton,28.0,"Columbus, OH",1.0,9,4
100,Andrea Shirley,28.0,"Cincinnati, OH",1.0,9,4
101,April Jacobs,23.0,"Chicago, IL",1.0,9,4
102,Tessa Horst,26.0,"San Francisco, California",11.0,10,1
103,Bevin Nicole Powers,28.0,"Palo Alto, California",8.0,10,1
104,Danielle Imwalle,25.0,"Bethel, Connecticut",7.0,10,3
105,Amber Alchalabi,23.0,"Sugar Land, Texas",6.0,10,2
106,Stephanie Wilhite,23.0,"Overland Park, Kansas",5.0,10,4
107,Tina Wu,26.0,"Los Angeles, California",5.0,10,1
108,Kate Brockhouse,24.0,"Ravenel, South Carolina",4.0,10,2
109,Nicole Clary,26.0,"Charleston, SC",4.0,10,4
110,Stephanie Tipper,27.0,"Folly Beach, SC",4.0,10,4
111,Amanda Hackney,26.0,"Dallas, TX",3.0,10,4
112,Erin Parker,24.0,"Logansport, LA",3.0,10,4
113,Peyton Wright,24.0,"La Vergne, Tennessee",3.0,10,2
114,Alexis Young,26.0,"Southlake, TX",2.0,10,4
115,Susan Anderson,23.0,"The Woodlands, TX",2.0,10,4
116,Tiffany Warren,28.0,"Boston, MA",2.0,10,4
117,Blakeney Rowe,29.0,"Birmingham, AL",1.0,10,4
118,Candace DeCost,23.0,"Hilton Head Island, SC",1.0,10,4
119,Catherine Warren,23.0,"Lake Forest, IL",1.0,10,4
120,Danielle Vallis,26.0,"Bronx, NY",1.0,10,4
121,Jackie Topelli,23.0,"Minneapolis, MN",1.0,10,4
122,Jeanette Alvarez,27.0,"Tampa, FL",1.0,10,4
123,Jessica Devallo,32.0,"New York, NY",1.0,10,3
124,Linda Malek,33.0,"Cuyahoga Falls, OH",1.0,10,4
125,Lindsay Smith,22.0,"Lawrence, KS",1.0,10,4
126,Tiffany Forester,27.0,"St. Louis Park, MN",1.0,10,4
127,Deanna Pappas,25.0,"Newnan, Georgia",8.0,11,2
128,Jenni Croft,27.0,"Wichita, Kansas",8.0,11,4
129,Bettina Bell,27.0,"Washington, D.C.",7.0,11,1
130,Sheena Stewart,23.0,"Walnut Creek, California",6.0,11,1
131,Hillary Reisinger,27.0,"Philadelphia, Pennsylvania",5.0,11,3
132,Kristy Katzmann,29.0,"Gurnee, Illinois",5.0,11,4
133,"Estefania ""Stephy"" Kootz",26.0,"Atlanta, Georgia",4.0,11,2
134,Jade Beazley,24.0,"Nashville, Tennessee",4.0,11,2
135,McCarten Delaney,26.0,"Lemon Grove, California",4.0,11,1
136,Lindsey Hawkins,25.0,"Livonia, Michigan",3.0,11,4
137,Sarah Newlon,23.0,"O'Fallon, Illinois",3.0,11,4
138,Solisa Shoop,25.0,"Georgetown, Texas",3.0,11,2
139,Michele Leavy,30.0,"South Brunswick, New Jersey",2.0,11,3
140,Mallory Simons,24.0,"Honolulu, Hawaii",2.0,11,1
141,Erin Gardner,25.0,"Tampa, Florida",2.0,11,2
142,Jessica Kiss,27.0,"Lady Lake, Florida",1.0,11,2
143,Juli Gilliam,24.0,"Chicago, Illinois",1.0,11,4
144,Kim Orville,31.0,"Woodbridge, Connecticut",1.0,11,3
145,Lori Langley,33.0,"Annapolis, Maryland",1.0,11,3
146,Melissa Buschel,28.0,"Westchester, New York",1.0,11,3
147,Morgan Becker,24.0,"Tempe, Arizona",1.0,11,4
148,Natalie Velasco,25.0,"Duncanville, Texas",1.0,11,2
149,Regina Doringa,31.0,"San Diego, California",1.0,11,1
150,Tauni Nessler ,31.0,"St. Louis Park, Minnesota",1.0,11,4
151,Susan Stein,35.0,"St. Charles, Illinois",1.0,11,4
152,Shayne Lamas,22.0,"Malibu, California",11.0,12,1
153,Chelsea Wanstrath,25.0,"Durango, Colorado",8.0,12,4
154,Amanda Rantuccio,27.0,"Niceville, Florida",7.0,12,2
155,Noelle Drake,26.0,"Loveland, Colorado",6.0,12,4
156,Marshana Ritchie,27.0,"Brooklyn, New York",5.0,12,3
157,Robin Canfield,22.0,"Holland, Michigan",5.0,12,4
158,Ashlee Williss,22.0,"Jacksonville Beach, Florida",4.0,12,2
159,Kelly Duncan,25.0,"Hollywood, California",4.0,12,1
160,Holly Durst,24.0,"Suffield, Ohio",4.0,12,4
161,Amy,22.0,"Stockton, California",3.0,12,1
162,Erin Storm,33.0,"Venice, California",3.0,12,1
163,Kristine Heffelfinger,33.0,"Dillsburg, Pennsylvania",3.0,12,3
164,Carri Perrier,25.0,"Oklahoma City, Oklahoma",2.0,12,4
165,Erin Harper,25.0,"Seattle, Washington",2.0,12,1
166,Michelle P.,28.0,"Syracuse, New York",2.0,12,3
167,Alyssa,24.0,"Boise, Idaho",1.0,12,4
168,Amanda Petterman,26.0,"LaFollette, Tennessee",1.0,12,2
169,Denise,30.0,"Washington, D.C",1.0,12,1
170,Devon,24.0,"Austin, Texas",1.0,12,2
171,Lesley Geyer,23.0,"Tampa, Florida",1.0,12,2
172,Michele R.,33.0,"Laguna Niguel, California",1.0,12,1
173,Rebecca,30.0,"Alamo, California",1.0,12,1
174,Stacey Elza,26.0,"Chicago, Illinois",1.0,12,4
175,Tamara,23.0,"Beverly Hills, California",1.0,12,1
176,Tiffany,33.0,"San Francisco, California",1.0,12,1
177,Melissa Rycroft,25.0,"Dallas, Texas",11.0,13,2
178,Molly Malaney,24.0,"Brookfield, Wisconsin",8.0,13,4
179,Jillian Harris,29.0,"Peace River, Alberta",7.0,13,4
180,Naomi Rose Crespo,24.0,"Carlsbad, California",6.0,13,1
181,Stephanie Hogan,34.0,"Huntsville, Alabama",5.0,13,2
