0,1,2,3
-5.316640778060231,-12.118262895027398,-14.422521994302528,-14.533142982904069
-23.394936677698094,-30.16809326274336,-54.427073245466964,-20.72621968807935
-36.71288867596839,-56.68879089751239,-66.83177242683767,-41.309895144564344
-5.264449894732392,-8.657131635668707,-18.09724791871852,-22.926484259578515
-61.44187218389393,-62.275735836167655,-42.594124146861404,-75.6392062774033
-62.67304602359023,-58.1727447073832,-64.40701717830305,-40.5177724548531
-38.69921273293152,-39.053563586452064,-54.67934923400566,-19.90966378794788
-0.2,-6.3504724992,-0.7839360000000002,-4.5940503552
-0.36000000000000004,-0.52,-0.2,-0.36000000000000004
-0.3384308409421005,0.0,0.0,0.0
-5.484573823929537,-15.433016358374212,-43.87525085346342,-51.944969561857306
-5.352459108570603,-9.116845986092882,-9.671473454023818,-8.820273702751264
-62.3320150508399,-49.96208282174992,-39.60703885118072,-75.30219318902681
-84.66476411425151,-67.01670188144722,-84.46505061997448,-81.22919334242061
-48.29071815922785,-72.43128718148384,-58.67698826455701,-65.73541159858368
-5.2451249428956785,-11.091867265549656,-10.621226632044108,-8.22918361452776
-3.45623478008733,-1.858906807517341,-1.0154141394836538,-4.337184582903061
-0.23200000000000004,-0.6224000000000001,0.0,-0.48800000000000004
-0.36000000000000004,-0.36000000000000004,-0.36000000000000004,-0.48800000000000004
-36.0,-20.161311842376605,0.0,-0.36000000000000004
-5.941794826308275,-29.412387443096886,-11.386914941148396,-13.19386504399898
-85.93385767105222,-32.04254468524227,-73.50792550813674,-51.1229905400353
-39.295526898283896,-60.42569723757642,-56.920702527923424,-61.806431377619255
-5.145613267990859,-14.045729985671944,-16.2722379002132,-22.427817929254523
-64.83918885403982,-85.9046025291228,-66.34843686517956,-73.72024160026629
-5.270417671801887,-17.51865050645893,-8.78909723018289,-12.58583956417167
-0.2,0.0,-0.23200000000000004,-0.2
-0.2,0.0,0.0,0.0
0.0,-20.0,0.0,-0.4176
-1.008199014853762,-4.117552235456901,-6.758188359235696,0.0
-7.567117733390748,-70.20091116752012,-14.657401367418455,-40.41531775953503
-5.243743054604025,-11.816752188893819,-11.598376714142187,-14.681824966441003
-65.47787381272478,-45.42906439705737,-25.99497615648114,-77.42292919660431
-53.42593027953092,-44.417150262623366,-59.4754417161778,-59.178305445764984
-61.78633540217001,-67.72955244284857,-76.1029550508652,-30.746987476864664
